COUNTRY,TITLE,CHANNELTITLE,VIEW_COUNT,RANK
BR,BRASIL 4 X 1 URUGUAI | MELHORES MOMENTOS | 12ª RODADA ELIMINATÓRIAS DA COPA | ge.globo,ge,4562725,1
BR,MAIS TRÊS GOLS DE CRISTIANO RONALDO! PORTUGAL 5 X 0 LUXEMBURGO | MELHORES MOMENTOS,TNT Sports Brasil,2053005,2
BR,♫ NEYMAR TÁ DE VOLTA!! E A DUPLA COM RAPHINHA DECOLOU! | Paródia Mulher Kamasutra 2 - MC Livinho,FutParódias,814491,3
CA,Sore loser! An idiot! Tyson Fury reveals what was said between him & Deontay Wilder after huge win,BT Sport Boxing,6913800,1
CA,World's Smallest TV | OT 30,Dude Perfect,6222811,2
CA,Eliminatorias | Brasil 4-1 Uruguay | Fecha 12,CONMEBOL,4354963,3
DE,Eliminatorias | Brasil 4-1 Uruguay | Fecha 12,CONMEBOL,4354963,1
DE,"Lesnar returns for the Universal Title Match Contract Signing with Reigns: SmackDown, Oct. 15, 202..",WWE,2872431,2
DE,Timo Werner schießt DFB-Team zur WM: Nordmazedonien - Deutschland 0:4 | European Qualifiers | DAZN,DAZN Länderspiele,1793189,3
FR,"Lesnar returns for the Universal Title Match Contract Signing with Reigns: SmackDown, Oct. 15, 202..",WWE,2872431,1
FR,"Le film de la finale de l'UEFA Nations League, Equipe de France I FFF 2021",Fédération Française de Football,1504302,2
FR,"Espagne 1-2 France, le résumé - Finale UEFA Nations League I FFF 2021",Fédération Française de Football,1454288,3
GB,Sore loser! An idiot! Tyson Fury reveals what was said between him & Deontay Wilder after huge win,BT Sport Boxing,6913800,1
GB,World's Smallest TV | OT 30,Dude Perfect,6222811,2
GB,BRASIL 4 X 1 URUGUAI | MELHORES MOMENTOS | 12ª RODADA ELIMINATÓRIAS DA COPA | ge.globo,ge,4562725,3
IN,Roman Reigns vs. Brock Lesnar– Road to WWE Crown Jewel: WWE Playlist,WWE,2482492,1
IN,IND v AUS | 2016 T20WC | Hindi Highlights,ICC,2363322,2
IN,ICC Men's T20 World Cup 2021: Buy 1 Break 1 Free Offer,Star Sports,2262739,3
JP,【エグい】ティモンディ高岸 衝撃弾 #shorts,ティモンディベースボールTV,2452684,1
JP,【LIVE】ドラフト会議速報を豪華ゲストと一緒に見守ろう！【スポナビドラフト速報見ながライブ】,スポーツナビ公式,1075850,2
JP,【ハイライト・実況】W杯アジア最終予選　森保ジャパン、絶体絶命の大一番！首位オーストラリアを撃破！(2021年10月12日),ANNnewsCH,902379,3
KR,배틀로얄 실사판. 생존 격투 서바이벌 l 파이트 클럽 EP.1,KoreanZombie 코리안좀비,3182863,1
KR,[21/22 PL] 7R 토트넘 vs 아스톤 빌라 MVP 손흥민,SPOTV,2685339,2
KR,심석희는 최민정을 고의로 방해했나? 당시 경기 장면과 인터뷰를 들여다봤습니다! / 스포츠머그,스포츠머그 - SPORTSMUG,1687921,3
MX,Race Highlights | 2021 Turkish Grand Prix,FORMULA 1,5165706,1
MX,Eliminatorias | Brasil 4-1 Uruguay | Fecha 12,CONMEBOL,4354963,2
MX,Argentina 3-0 Uruguay I Eliminatorias a Catar 2022,TyC Sports,2794195,3
RU,"Highlights: Watford 0-5 Liverpool | Mane, Salah & a Firmino hat-trick for sensational Reds",Liverpool FC,1705824,1
RU,Т-34 VS боец UFC. Хадис VS Андрюшко. Назир. Армеец VS Нилов. Марат Балаев на Хардкоре. 1/8 гран-при,HFC MMA,1203498,2
RU,Knockout Of The Year?! Superbon SHOCKS Giorgio Petrosyan 😱,ONE Championship,1020267,3
US,Dice Stacks from $1 to $100,That's Amazing Shorts,69866143,1
US,FIGHT HIGHLIGHTS | Anthony Joshua vs. Oleksandr Usyk,DAZN Boxing,8639065,2
US,Sore loser! An idiot! Tyson Fury reveals what was said between him & Deontay Wilder after huge win,BT Sport Boxing,6913800,3
