COUNTRY,CATEGORY_TITLE,NUMBER_OF_UNIQUE_VIDEOS,TOTAL_VIEWS,AVG_VIEWS,TOTAL_COMMENTS,AVG_COMMENTS,TOTAL_LIKES,AVG_LIKES,RANK
BR,Science & Technology,240,3136006530,13066694,5650521,23544,140888437,587035,1
CA,Science & Technology,838,10214897705,12189615,25672214,30635,440343377,525469,4
DE,Science & Technology,960,6531017277,6803143,16270508,16948,267701171,278855,4
FR,Science & Technology,780,3092983879,3965364,5257705,6741,112890570,144732,1
GB,Science & Technology,721,8831850045,12249445,22508898,31219,374132946,518908,2
IN,Science & Technology,1224,11361896509,9282595,45931893,37526,737709667,602704,3
JP,Science & Technology,70,1879411681,26848738,1660210,23717,58857191,840817,1
KR,Science & Technology,268,3073860244,11469628,4644234,17329,80013533,298558,1
MX,Science & Technology,136,2787619500,20497202,3429367,25216,88959702,654115,1
RU,Science & Technology,1766,1745877516,988606,12419923,7033,103323601,58507,3
US,Science & Technology,685,9694639647,14152759,25235104,36840,417041307,608819,1
